"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 24 20:22:43 CST 2020","Fri Apr 24 20:22:43 CST 2020","0","good_idea","test_login","TestLogin","","","test_login",""
"passed","Fri Apr 24 20:22:43 CST 2020","Fri Apr 24 20:22:43 CST 2020","0","good_idea","test_login","TestLogin","","","test_login2",""
